[['', '', 'AB', 'C'], 'AC']     could not be checked
[['', 'A', 'B', 'A'], 'C']     could not be checked
[['', '', 'AB', 'AB'], '']     could not be checked
[['', 'A', 'B', 'AC'], 'BC']     could not be checked
[['', 'A', 'B', 'A'], 'ACD']     could not be checked
[['', '', 'AB', ''], 'ABD']     could not be checked
[['', 'A', 'B', 'AC'], 'ABCD']     could not be checked
[['', '', 'AB', 'ABC'], 'ABD']     could not be checked
[['', 'A', 'AB', 'BC'], 'BCD']     could not be checked
[['', 'A', '', ''], 'AC']     could not be checked
[['', 'A', '', 'ABC'], 'AC']     could not be checked
[['', 'A', '', ''], 'BCD']     could not be checked
[['', 'A', 'B', 'C'], 'B']     could not be checked
[['', 'A', 'B', 'C'], 'ABD']     could not be checked
[['', '', 'B', 'AC'], 'C']     could not be checked
[['', '', 'B', 'AC'], 'ACD']     could not be checked
[['', '', 'AB', 'C'], '']     could not be checked
[['', '', 'AB', 'C'], 'AD']     could not be checked
[['', '', 'AB', 'A'], 'ABD']     could not be checked
[['', 'A', 'B', 'AC'], 'A']     could not be checked
[['', 'A', 'B', 'A'], 'D']     could not be checked
[['', '', 'AB', 'AB'], 'C']     could not be checked
[['', 'A', 'B', 'AC'], 'BD']     could not be checked
[['', '', 'AB', 'AB'], 'ACD']     could not be checked
[['', '', 'AB', ''], 'ABCD']     could not be checked
[['', '', 'AB', 'ABC'], 'ABCD']     could not be checked
[['', 'A', 'AB', 'BC'], '']     could not be checked
[['', 'A', 'AB', 'BC'], 'AD']     could not be checked
[['', 'A', '', ''], '']     could not be checked
[['', 'A', 'B', 'C'], 'BC']     could not be checked
[['', 'A', 'B', 'C'], 'ABCD']     could not be checked
[['', '', 'B', 'AC'], 'D']     could not be checked
[['', 'A', 'AB', 'AB'], 'BC']     could not be checked
[['', '', 'AB', 'C'], 'C']     could not be checked
[['', '', 'AB', 'A'], 'BC']     could not be checked
[['', 'A', 'AB', 'AB'], 'ABCD']     could not be checked
[['', '', 'AB', 'C'], 'ACD']     could not be checked
[['', '', 'AB', 'A'], 'ABCD']     could not be checked
[['', 'A', 'B', 'A'], 'AB']     could not be checked
[['', '', 'AB', ''], 'A']     could not be checked
[['', 'A', 'B', 'AC'], 'AC']     could not be checked
[['', '', 'AB', 'ABC'], 'A']     could not be checked
[['', 'A', 'B', 'A'], 'CD']     could not be checked
[['', 'A', 'AB', 'BC'], 'C']     could not be checked
[['', 'A', 'AB', 'B'], 'ABD']     could not be checked
[['', 'A', 'AB', 'BC'], 'ACD']     could not be checked
[['', 'A', '', ''], 'C']     could not be checked
[['', 'A', '', ''], 'ACD']     could not be checked
[['', 'A', 'B', 'C'], 'A']     could not be checked
[['', 'A', 'B', 'C'], 'BD']     could not be checked
[['', '', 'B', 'AC'], 'AB']     could not be checked
[['', 'A', 'AB', 'AB'], 'A']     could not be checked
[['', '', 'AB', 'A'], 'A']     could not be checked
[['', '', 'AB', 'C'], 'D']     could not be checked
[['', '', 'AB', 'A'], 'BD']     could not be checked
[['', 'A', 'B', 'A'], 'ABC']     could not be checked
[['', '', 'AB', ''], 'AC']     could not be checked
[['', '', 'AB', 'AB'], 'AB']     could not be checked
[['', 'A', 'AB', 'B'], 'BC']     could not be checked
[['', 'A', 'AB', 'BC'], 'D']     could not be checked
[['', 'A', 'AB', 'B'], 'ABCD']     could not be checked
[['', 'A', 'B', 'C'], 'AC']     could not be checked
[['', 'A', 'AB', 'AB'], 'AC']     could not be checked
[['', '', 'AB', 'C'], 'AB']     could not be checked
[['', '', 'AB', 'A'], 'AC']     could not be checked
[['', 'A', 'AB', 'AB'], 'BCD']     could not be checked
[['', '', 'AB', 'A'], 'BCD']     could not be checked
[['', 'A', 'B', 'A'], 'B']     could not be checked
[['', '', 'AB', ''], '']     could not be checked
[['', '', 'AB', ''], 'AD']     could not be checked
[['', 'A', 'AB', 'B'], 'A']     could not be checked
[['', 'A', 'AB', 'BC'], 'AB']     could not be checked
[['', 'A', 'AB', 'B'], 'BD']     could not be checked
[['', 'A', 'AB', 'BC'], 'CD']     could not be checked
[['', '', 'B', 'A'], 'ACD']     could not be checked
[['', 'A', 'AB', 'AB'], '']     could not be checked
[['', '', 'AB', 'A'], '']     could not be checked
[['', '', 'AB', 'A'], 'AD']     could not be checked
[['', 'A', 'AB', 'ABC'], 'ABCD']     could not be checked
[['', 'A', 'B', 'BC'], 'CD']     could not be checked
[['', '', 'AB', ''], 'C']     could not be checked
[['', 'A', 'AB', 'C'], 'CD']     could not be checked
[['', 'A', 'AB', 'B'], 'AC']     could not be checked
[['', 'A', 'AB', 'B'], 'BCD']     could not be checked
[['', 'A', 'A', 'A'], 'AB']     could not be checked
[['', 'A', 'B', 'ABC'], 'CD']     could not be checked
[['', '', '', 'ABC'], 'D']     could not be checked
[['', 'A', 'AB', 'ABC'], 'BD']     could not be checked
[['', 'A', 'B', 'BC'], 'ABC']     could not be checked
[['', '', 'AB', 'AC'], 'BCD']    is interesting
The required (X,Y,Z,W) are: ( D , B ,  , C )
[['', 'A', 'AB', 'AC'], 'CD']     could not be checked
[['', 'A', 'B', 'B'], 'ACD']     could not be checked
[['', 'A', 'AB', 'C'], 'ABC']     could not be checked
[['', 'A', 'AB', 'B'], '']     could not be checked
[['', 'A', 'B', ''], 'ABCD']     could not be checked
[['', 'A', 'AB', 'B'], 'AD']     could not be checked
[['', 'A', 'A', 'A'], 'ABC']     could not be checked
[['', 'A', 'AB', ''], 'ACD']     could not be checked
[['', '', 'B', 'A'], 'AB']     could not be checked
[['', '', 'B', 'A'], 'CD']     could not be checked
[['', 'A', 'B', 'ABC'], 'ABC']     could not be checked
[['', '', '', 'ABC'], 'AB']     could not be checked
[['', 'A', 'AB', 'ABC'], 'AC']     could not be checked
[['', 'A', 'B', 'BC'], 'B']     could not be checked
[['', '', 'AB', 'AC'], '']     could not be checked
[['', 'A', 'AB', 'ABC'], 'BCD']     could not be checked
[['', 'A', 'B', 'BC'], 'ABD']     could not be checked
[['', '', 'AB', 'AC'], 'AD']     could not be checked
[['', 'A', 'AB', 'AC'], 'ABC']     could not be checked
[['', 'A', 'AB', 'C'], 'B']     could not be checked
[['', 'A', 'AB', 'C'], 'ABD']     could not be checked
[['', 'A', 'AB', 'A'], 'ACD']     could not be checked
